epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.36,0.52943,2.15339,0.88276,0.94889,0.5323,0.92772,0.78942,0.46623,1.96619,0.82954,0.000548633,0.000548633,0.000548633
2,33.9956,0.56438,1.19458,0.87801,0.87132,0.89811,0.937,0.76796,0.57352,1.17045,0.85849,0.00109436,0.00109436,0.00109436
3,50.0009,0.54003,1.01322,0.87835,0.91065,0.93551,0.96708,0.79312,0.56409,0.74968,0.85861,0.00163009,0.00163009,0.00163009
4,65.8189,0.56472,0.79684,0.8872,0.93015,0.9207,0.96375,0.81703,0.50942,0.48514,0.8486,0.00162199,0.00162199,0.00162199
5,81.828,0.56175,0.65967,0.878,0.92337,0.9166,0.95439,0.81982,0.48738,0.47879,0.84053,0.00160699,0.00160699,0.00160699
6,97.5442,0.47533,0.53843,0.85576,0.94387,0.93265,0.96301,0.83246,0.4629,0.41406,0.83763,0.00159199,0.00159199,0.00159199
7,113.234,0.44775,0.47499,0.85813,0.94134,0.95169,0.97288,0.83634,0.47271,0.38265,0.8396,0.00157698,0.00157698,0.00157698
8,129.202,0.51722,0.49232,0.86711,0.92617,0.95315,0.96644,0.85135,0.42801,0.37386,0.8272,0.00156198,0.00156198,0.00156198
9,144.758,0.40835,0.42078,0.85365,0.95442,0.94232,0.97244,0.85865,0.4225,0.34823,0.82929,0.00154698,0.00154698,0.00154698
10,160.575,0.45559,0.40154,0.85252,0.94915,0.94768,0.96973,0.86752,0.39152,0.34083,0.81866,0.00153197,0.00153197,0.00153197
11,176.41,0.43078,0.39414,0.84574,0.95048,0.94892,0.97411,0.85795,0.41043,0.36323,0.83093,0.00151697,0.00151697,0.00151697
12,192.032,0.42091,0.38342,0.85025,0.95776,0.93403,0.96935,0.86763,0.36673,0.31669,0.81956,0.00150197,0.00150197,0.00150197
13,207.678,0.38868,0.35182,0.8421,0.96056,0.95224,0.97904,0.88071,0.37662,0.30075,0.81609,0.00148696,0.00148696,0.00148696
14,223.81,0.45304,0.38082,0.85108,0.9456,0.94912,0.96855,0.86018,0.38635,0.31883,0.82304,0.00147196,0.00147196,0.00147196
15,239.287,0.33754,0.31684,0.83387,0.95621,0.92275,0.9719,0.8632,0.39673,0.32676,0.82654,0.00145696,0.00145696,0.00145696
16,254.766,0.38208,0.33191,0.84035,0.93367,0.94357,0.97706,0.87143,0.3966,0.32638,0.82283,0.00144195,0.00144195,0.00144195
17,270.44,0.37472,0.32571,0.84136,0.95823,0.95679,0.9804,0.88235,0.37429,0.29344,0.81845,0.00142695,0.00142695,0.00142695
18,286.121,0.39089,0.32602,0.84137,0.95075,0.95045,0.97587,0.87517,0.38456,0.29645,0.82423,0.00141195,0.00141195,0.00141195
19,301.875,0.40169,0.32422,0.8397,0.95427,0.94088,0.97286,0.87891,0.35882,0.28686,0.81116,0.00139695,0.00139695,0.00139695
20,317.626,0.38444,0.32324,0.83144,0.96117,0.95776,0.98489,0.89651,0.35587,0.26793,0.81,0.00138194,0.00138194,0.00138194
21,333.109,0.35873,0.30478,0.8323,0.95719,0.94947,0.9762,0.89174,0.35953,0.26338,0.8106,0.00136694,0.00136694,0.00136694
22,348.48,0.34289,0.28936,0.83395,0.9563,0.96754,0.98468,0.89373,0.3428,0.25971,0.81075,0.00135194,0.00135194,0.00135194
23,364.222,0.3804,0.30673,0.84169,0.94783,0.9542,0.97813,0.88774,0.34866,0.28775,0.81292,0.00133693,0.00133693,0.00133693
24,379.934,0.37814,0.30071,0.83452,0.96016,0.95688,0.9812,0.89614,0.34398,0.26269,0.80933,0.00132193,0.00132193,0.00132193
25,395.486,0.35191,0.29289,0.83119,0.94138,0.94691,0.97802,0.88266,0.3479,0.26848,0.81273,0.00130693,0.00130693,0.00130693
26,411.225,0.36672,0.29121,0.8251,0.95595,0.94016,0.97287,0.88846,0.346,0.26769,0.80972,0.00129193,0.00129193,0.00129193
27,426.934,0.35443,0.28238,0.82872,0.9553,0.9532,0.97936,0.89792,0.32496,0.24667,0.80722,0.00127692,0.00127692,0.00127692
28,442.5,0.34235,0.27591,0.82666,0.96573,0.9485,0.98176,0.89138,0.33357,0.25297,0.8082,0.00126192,0.00126192,0.00126192
29,458.028,0.32051,0.26877,0.82689,0.96542,0.94125,0.97355,0.87987,0.35461,0.2709,0.81867,0.00124692,0.00124692,0.00124692
30,473.854,0.36124,0.27999,0.83189,0.95611,0.95165,0.97988,0.89173,0.33484,0.26189,0.80747,0.00123191,0.00123191,0.00123191
31,489.526,0.31323,0.26054,0.82809,0.94479,0.90213,0.96059,0.86325,0.36687,0.30593,0.82342,0.00121691,0.00121691,0.00121691
32,505.01,0.31894,0.29712,0.83083,0.95445,0.94532,0.98106,0.88681,0.33607,0.26043,0.80849,0.00120191,0.00120191,0.00120191
33,520.699,0.33898,0.27349,0.82612,0.94515,0.95174,0.98112,0.89646,0.34026,0.27407,0.80858,0.0011869,0.0011869,0.0011869
34,536.406,0.34215,0.27634,0.82995,0.95783,0.93997,0.97531,0.88392,0.33832,0.2584,0.81114,0.0011719,0.0011719,0.0011719
35,552.006,0.32326,0.25948,0.82484,0.96466,0.95122,0.98157,0.90272,0.3139,0.23314,0.80481,0.0011569,0.0011569,0.0011569
36,567.558,0.32677,0.25608,0.82562,0.95402,0.95395,0.97956,0.89956,0.32625,0.25177,0.80717,0.0011419,0.0011419,0.0011419
37,583.605,0.3646,0.28376,0.8289,0.9677,0.96789,0.9881,0.89632,0.32791,0.22964,0.8104,0.00112689,0.00112689,0.00112689
38,599.253,0.31448,0.25682,0.82398,0.95894,0.96655,0.98773,0.90238,0.32613,0.23435,0.80542,0.00111189,0.00111189,0.00111189
39,615.126,0.3337,0.26541,0.82699,0.94672,0.93763,0.97668,0.88773,0.33108,0.2513,0.81094,0.00109689,0.00109689,0.00109689
40,630.758,0.31323,0.24919,0.82236,0.94896,0.97039,0.98366,0.89936,0.32059,0.2331,0.80911,0.00108188,0.00108188,0.00108188
41,646.484,0.3305,0.26073,0.82769,0.96169,0.97366,0.98136,0.89499,0.32079,0.22776,0.80599,0.00106688,0.00106688,0.00106688
42,662.433,0.35977,0.26417,0.82658,0.96619,0.95956,0.98169,0.89924,0.31337,0.22557,0.80511,0.00105188,0.00105188,0.00105188
43,678.15,0.31073,0.24731,0.82632,0.94591,0.96334,0.9851,0.90453,0.31156,0.22875,0.80495,0.00103687,0.00103687,0.00103687
44,693.903,0.28802,0.24497,0.82375,0.96376,0.95976,0.98566,0.90488,0.32264,0.23175,0.80562,0.00102187,0.00102187,0.00102187
45,709.774,0.35241,0.26231,0.82934,0.96225,0.95533,0.98352,0.9048,0.31173,0.23795,0.80476,0.00100687,0.00100687,0.00100687
46,725.418,0.3079,0.24497,0.82328,0.95993,0.96009,0.98247,0.90601,0.31124,0.2356,0.80599,0.000991865,0.000991865,0.000991865
47,740.997,0.2939,0.23556,0.82111,0.97957,0.94675,0.98556,0.9019,0.30727,0.22377,0.80505,0.000976862,0.000976862,0.000976862
48,756.517,0.27832,0.22452,0.81997,0.95679,0.97173,0.98524,0.90443,0.30862,0.21637,0.8049,0.000961859,0.000961859,0.000961859
49,772.14,0.30209,0.22759,0.81661,0.9653,0.95737,0.98002,0.89697,0.31167,0.22648,0.80803,0.000946856,0.000946856,0.000946856
50,787.942,0.34107,0.26001,0.82682,0.96243,0.97197,0.98591,0.90929,0.30721,0.21558,0.80236,0.000931853,0.000931853,0.000931853
51,803.645,0.28947,0.22436,0.8183,0.95474,0.97219,0.98516,0.90827,0.29731,0.21251,0.80191,0.00091685,0.00091685,0.00091685
52,819.369,0.31011,0.23594,0.82188,0.9752,0.96398,0.98581,0.90548,0.30708,0.21473,0.80389,0.000901847,0.000901847,0.000901847
53,835.11,0.30721,0.22232,0.8231,0.96947,0.96637,0.98524,0.90582,0.2978,0.20787,0.80307,0.000886844,0.000886844,0.000886844
54,850.881,0.30026,0.22939,0.82032,0.96984,0.96138,0.98638,0.90409,0.30179,0.2073,0.805,0.000871841,0.000871841,0.000871841
55,866.796,0.33506,0.23814,0.8218,0.9669,0.96005,0.98292,0.90472,0.32075,0.2267,0.80706,0.000856838,0.000856838,0.000856838
56,882.424,0.3101,0.22763,0.82069,0.97033,0.95879,0.9866,0.9124,0.29424,0.2039,0.80178,0.000841835,0.000841835,0.000841835
57,898.133,0.28403,0.21956,0.81352,0.9735,0.96401,0.98231,0.90222,0.30924,0.21276,0.80564,0.000826832,0.000826832,0.000826832
58,913.75,0.29286,0.21852,0.81792,0.96025,0.9724,0.98266,0.91088,0.28589,0.19981,0.79889,0.000811829,0.000811829,0.000811829
59,929.345,0.28937,0.21986,0.8126,0.96105,0.96384,0.98218,0.90973,0.28673,0.20211,0.80202,0.000796826,0.000796826,0.000796826
60,944.87,0.26571,0.21462,0.81865,0.96336,0.97876,0.98713,0.91611,0.28233,0.18982,0.80035,0.000781823,0.000781823,0.000781823
61,960.433,0.27527,0.21116,0.81484,0.96736,0.97019,0.98486,0.91039,0.28745,0.20016,0.79964,0.00076682,0.00076682,0.00076682
62,976.162,0.28279,0.21878,0.81774,0.97728,0.94749,0.98234,0.90929,0.28387,0.20335,0.79947,0.000751817,0.000751817,0.000751817
63,992.007,0.31438,0.2306,0.82092,0.97207,0.95139,0.98493,0.91499,0.28026,0.20527,0.79944,0.000736814,0.000736814,0.000736814
64,1007.81,0.29119,0.21892,0.81571,0.97418,0.95484,0.9853,0.90464,0.31036,0.20654,0.80753,0.000721811,0.000721811,0.000721811
65,1023.67,0.27629,0.20777,0.81329,0.96503,0.96804,0.98551,0.91041,0.28943,0.19603,0.80241,0.000706808,0.000706808,0.000706808
66,1039.41,0.28092,0.20761,0.81718,0.95745,0.96705,0.98366,0.90718,0.29251,0.20593,0.80416,0.000691805,0.000691805,0.000691805
67,1055.29,0.29144,0.21848,0.81218,0.96146,0.96062,0.98077,0.90421,0.29391,0.2047,0.80345,0.000676802,0.000676802,0.000676802
68,1070.96,0.27319,0.20662,0.81498,0.96645,0.96096,0.98024,0.90414,0.29229,0.20603,0.80216,0.000661799,0.000661799,0.000661799
69,1086.82,0.29138,0.20736,0.81473,0.95928,0.96113,0.98005,0.90238,0.28856,0.19813,0.80436,0.000646796,0.000646796,0.000646796
70,1102.41,0.27167,0.20262,0.81709,0.97321,0.96358,0.98339,0.91187,0.27839,0.18836,0.79991,0.000631793,0.000631793,0.000631793
71,1117.84,0.2569,0.19767,0.81356,0.96118,0.95893,0.98142,0.90676,0.28535,0.19936,0.80079,0.00061679,0.00061679,0.00061679
72,1133.59,0.27433,0.19987,0.81566,0.96572,0.96057,0.98033,0.90686,0.27836,0.19941,0.80071,0.000601787,0.000601787,0.000601787
73,1149.19,0.26919,0.19815,0.81157,0.96372,0.95191,0.98036,0.91026,0.27805,0.20138,0.80063,0.000586784,0.000586784,0.000586784
74,1164.9,0.27571,0.19922,0.81179,0.96012,0.97283,0.98242,0.90769,0.28192,0.19567,0.80004,0.000571781,0.000571781,0.000571781
