epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8723,0.48429,1.07966,0.72834,0.94267,0.72415,0.91599,0.76357,0.43339,1.01,0.70887,0.000849632,0.000849632,0.000849632
2,35.6898,0.45708,0.69393,0.72849,0.89277,0.87787,0.94069,0.78897,0.42754,0.56102,0.71783,0.0016538,0.0016538,0.0016538
3,52.031,0.47832,0.50951,0.72645,0.91154,0.89729,0.95567,0.81813,0.38281,0.35221,0.6954,0.0016406,0.0016406,0.0016406
4,68.2395,0.44026,0.39192,0.71734,0.84329,0.83776,0.91893,0.78366,0.40738,0.37555,0.7131,0.0016274,0.0016274,0.0016274
5,84.3257,0.42338,0.33964,0.7155,0.92363,0.91898,0.93305,0.82535,0.36409,0.27482,0.70067,0.00161419,0.00161419,0.00161419
6,100.586,0.44048,0.34612,0.71148,0.92235,0.95148,0.96682,0.86137,0.33875,0.2468,0.68743,0.00160099,0.00160099,0.00160099
7,116.612,0.3999,0.29468,0.70632,0.9486,0.92073,0.96855,0.86816,0.33443,0.24634,0.68823,0.00158779,0.00158779,0.00158779
8,132.893,0.4149,0.27374,0.71174,0.93172,0.95244,0.9692,0.86003,0.33015,0.23033,0.68585,0.00157459,0.00157459,0.00157459
9,148.925,0.39612,0.2549,0.70845,0.88476,0.76067,0.83018,0.70402,0.48055,0.57568,0.76906,0.00156139,0.00156139,0.00156139
10,165.022,0.38497,0.24814,0.69906,0.88208,0.90033,0.94899,0.83888,0.34837,0.24838,0.69841,0.00154819,0.00154819,0.00154819
11,181.104,0.36376,0.22659,0.70076,0.94054,0.95817,0.96342,0.87281,0.32183,0.21853,0.68508,0.00153499,0.00153499,0.00153499
12,197.443,0.35555,0.23211,0.70204,0.94739,0.95698,0.97553,0.87662,0.31894,0.19962,0.67876,0.00152178,0.00152178,0.00152178
13,213.574,0.39543,0.2223,0.70452,0.94742,0.95839,0.9811,0.88749,0.29946,0.20095,0.68386,0.00150858,0.00150858,0.00150858
14,229.787,0.36261,0.21852,0.70045,0.9393,0.95277,0.97235,0.86959,0.3095,0.19303,0.68429,0.00149538,0.00149538,0.00149538
15,245.712,0.34419,0.20026,0.69526,0.93899,0.96772,0.96225,0.88084,0.27191,0.17803,0.67052,0.00148218,0.00148218,0.00148218
16,261.62,0.34259,0.20269,0.69543,0.95348,0.97225,0.97851,0.89248,0.30765,0.18085,0.68098,0.00146898,0.00146898,0.00146898
17,278.11,0.33097,0.18476,0.68851,0.90734,0.92841,0.9722,0.8917,0.28188,0.18694,0.67173,0.00145578,0.00145578,0.00145578
18,294.319,0.3594,0.20345,0.69192,0.94203,0.96438,0.96533,0.87529,0.29592,0.18686,0.67854,0.00144258,0.00144258,0.00144258
19,310.33,0.35052,0.1964,0.69411,0.929,0.96488,0.96251,0.8834,0.28802,0.18625,0.67615,0.00142937,0.00142937,0.00142937
20,326.474,0.37334,0.19183,0.68952,0.96024,0.96178,0.98128,0.9001,0.27181,0.17376,0.66943,0.00141617,0.00141617,0.00141617
21,342.524,0.36152,0.18827,0.68962,0.95762,0.95176,0.97087,0.89131,0.29772,0.18185,0.67149,0.00140297,0.00140297,0.00140297
22,358.654,0.36613,0.19799,0.69995,0.94826,0.97473,0.9768,0.89793,0.27313,0.17336,0.67068,0.00138977,0.00138977,0.00138977
23,374.601,0.31937,0.17762,0.68095,0.95385,0.96129,0.97748,0.90262,0.26125,0.18619,0.67456,0.00137657,0.00137657,0.00137657
24,390.748,0.33841,0.18758,0.6903,0.95764,0.95907,0.98433,0.90806,0.26115,0.16907,0.67252,0.00136337,0.00136337,0.00136337
25,406.912,0.34353,0.17742,0.68706,0.93903,0.97444,0.97361,0.89832,0.27304,0.17224,0.67728,0.00135017,0.00135017,0.00135017
26,423.254,0.35171,0.18033,0.69246,0.95664,0.96085,0.975,0.89832,0.25748,0.16716,0.67087,0.00133696,0.00133696,0.00133696
