epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0804,0.55422,1.99022,0.89117,0.99008,0.54061,0.95359,0.82603,0.5165,1.96469,0.83857,0.000548721,0.000548721,0.000548721
2,37.8359,0.51617,1.24022,0.87422,0.82414,0.7062,0.7867,0.62672,0.75879,1.70587,0.96576,0.00109377,0.00109377,0.00109377
3,54.0231,0.52871,0.9222,0.86756,0.93358,0.95112,0.97361,0.83481,0.5446,0.59648,0.85661,0.00162814,0.00162814,0.00162814
4,69.9751,0.54032,0.7762,0.87392,0.90856,0.92907,0.96236,0.83021,0.53752,0.61402,0.86574,0.00161893,0.00161893,0.00161893
5,85.9767,0.49534,0.60854,0.8681,0.88813,0.88053,0.92464,0.78363,0.5687,0.86379,0.86947,0.00160291,0.00160291,0.00160291
6,102.021,0.52095,0.59617,0.87077,0.8868,0.91223,0.92183,0.80363,0.52208,0.86965,0.85277,0.00158689,0.00158689,0.00158689
7,117.913,0.46481,0.52377,0.85904,0.93272,0.94783,0.96524,0.86186,0.46624,0.73097,0.85451,0.00157086,0.00157086,0.00157086
8,133.822,0.48028,0.46284,0.86497,0.949,0.95584,0.97622,0.86892,0.44907,0.47529,0.84104,0.00155484,0.00155484,0.00155484
9,149.696,0.44623,0.41716,0.85423,0.94414,0.96762,0.97208,0.86635,0.45668,0.40297,0.84029,0.00153882,0.00153882,0.00153882
10,165.661,0.43995,0.42003,0.84906,0.95085,0.96146,0.97532,0.8702,0.43641,0.49058,0.84421,0.0015228,0.0015228,0.0015228
11,181.693,0.43471,0.39522,0.85299,0.95336,0.96848,0.9785,0.8851,0.41449,0.37694,0.82886,0.00150677,0.00150677,0.00150677
12,197.503,0.40663,0.38752,0.84735,0.95262,0.96928,0.96556,0.87406,0.43718,0.40583,0.83597,0.00149075,0.00149075,0.00149075
13,213.328,0.42178,0.36317,0.84308,0.94799,0.96683,0.96989,0.87406,0.42203,0.38528,0.83589,0.00147473,0.00147473,0.00147473
14,229.272,0.40916,0.37914,0.84636,0.93102,0.95029,0.97248,0.87149,0.41498,0.45116,0.83319,0.00145871,0.00145871,0.00145871
15,245.037,0.38045,0.35321,0.84656,0.9411,0.96638,0.95994,0.87812,0.37886,0.38277,0.82349,0.00144268,0.00144268,0.00144268
16,260.981,0.3832,0.34318,0.84337,0.95782,0.97086,0.97884,0.894,0.3872,0.35167,0.82575,0.00142666,0.00142666,0.00142666
17,276.904,0.39073,0.32647,0.84044,0.94741,0.96125,0.96999,0.88786,0.40339,0.38763,0.82633,0.00141064,0.00141064,0.00141064
